資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20201218,0050,1,98568,20761954,2.14
20201218,0050,2,78651,145962986,15.11
20201218,0050,3,7290,55753723,5.77
20201218,0050,4,1942,24719501,2.55
20201218,0050,5,1076,19629192,2.03
20201218,0050,6,832,20953551,2.16
20201218,0050,7,363,12808659,1.32
20201218,0050,8,206,9596597,0.99
20201218,0050,9,379,26949133,2.78
20201218,0050,10,129,17770827,1.83
20201218,0050,11,70,19578514,2.02
20201218,0050,12,14,6693616,0.69
20201218,0050,13,9,6623653,0.68
20201218,0050,14,12,11018798,1.14
20201218,0050,15,54,567179296,58.71
20201218,0050,16,0,0,0.00
20201218,0050,17,189595,966000000,100.00
20201218,0051,1,666,138478,1.38
20201218,0051,2,1707,3122324,31.22
20201218,0051,3,132,1055668,10.55
20201218,0051,4,34,420923,4.20
20201218,0051,5,28,522000,5.22
20201218,0051,6,13,349000,3.49
20201218,0051,7,10,339673,3.39
20201218,0051,8,5,232934,2.32
20201218,0051,9,7,479000,4.79
20201218,0051,10,6,877000,8.77
20201218,0051,11,2,554000,5.54
20201218,0051,12,1,427000,4.27
20201218,0051,13,2,1482000,14.82
20201218,0051,14,0,0,0.00
20201218,0051,15,0,0,0.00
20201218,0051,16,0,0,0.00
20201218,0051,17,2613,10000000,100.00
20201218,0052,1,5355,986389,3.03
20201218,0052,2,2979,5254551,16.16
20201218,0052,3,190,1487934,4.57
20201218,0052,4,45,580757,1.78
20201218,0052,5,24,453700,1.39
20201218,0052,6,20,502238,1.54
20201218,0052,7,11,375655,1.15
20201218,0052,8,4,183000,0.56
20201218,0052,9,10,775000,2.38
20201218,0052,10,4,596082,1.83
20201218,0052,11,4,1432694,4.40
20201218,0052,12,3,1411000,4.34
20201218,0052,13,0,0,0.00
20201218,0052,14,0,0,0.00
20201218,0052,15,5,18461000,56.80
20201218,0052,16,0,0,0.00
20201218,0052,17,8654,32500000,100.00
20201218,0053,1,207,26293,0.47
20201218,0053,2,748,1468707,26.76
20201218,0053,3,85,739000,13.46
20201218,0053,4,13,172000,3.13
20201218,0053,5,20,387000,7.05
20201218,0053,6,6,157000,2.86
20201218,0053,7,2,77000,1.40
20201218,0053,8,4,194000,3.53
20201218,0053,9,1,55000,1.00
20201218,0053,10,2,234000,4.26
20201218,0053,11,2,669000,12.19
20201218,0053,12,0,0,0.00
20201218,0053,13,0,0,0.00
20201218,0053,14,0,0,0.00
20201218,0053,15,1,1309000,23.85
20201218,0053,16,0,0,0.00
20201218,0053,17,1091,5488000,100.00
20201218,0054,1,127,15110,0.18
20201218,0054,2,757,1546890,19.04
20201218,0054,3,113,972000,11.96
20201218,0054,4,41,551000,6.78
20201218,0054,5,33,639000,7.86
20201218,0054,6,6,159000,1.95
20201218,0054,7,10,383000,4.71
20201218,0054,8,6,279000,3.43
20201218,0054,9,3,246000,3.02
20201218,0054,10,2,285000,3.50
20201218,0054,11,0,0,0.00
20201218,0054,12,2,910000,11.20
20201218,0054,13,0,0,0.00
20201218,0054,14,0,0,0.00
20201218,0054,15,1,2138000,26.31
20201218,0054,16,0,0,0.00
20201218,0054,17,1101,8124000,100.00
20201218,0055,1,327,64521,0.17
20201218,0055,2,2669,5719292,15.81
20201218,0055,3,495,4166422,11.52
20201218,0055,4,134,1756999,4.85
20201218,0055,5,119,2250560,6.22
20201218,0055,6,79,2105806,5.82
20201218,0055,7,43,1552400,4.29
20201218,0055,8,25,1193000,3.29
20201218,0055,9,33,2400000,6.63
20201218,0055,10,15,1961000,5.42
20201218,0055,11,10,2928000,8.09
20201218,0055,12,1,504000,1.39
20201218,0055,13,0,0,0.00
20201218,0055,14,0,0,0.00
20201218,0055,15,3,9552000,26.42
20201218,0055,16,0,0,0.00
20201218,0055,17,3953,36154000,100.00
20201218,0056,1,55094,17728552,0.75
20201218,0056,2,227788,489474460,20.85
20201218,0056,3,39358,312093350,13.29
20201218,0056,4,12369,158296605,6.74
20201218,0056,5,7442,137873152,5.87
20201218,0056,6,6028,154059172,6.56
20201218,0056,7,2738,98156276,4.18
20201218,0056,8,1770,82367291,3.50
20201218,0056,9,2726,195137773,8.31
20201218,0056,10,937,127940536,5.45
20201218,0056,11,278,76774498,3.27
20201218,0056,12,49,24607752,1.04
20201218,0056,13,28,19856620,0.84
20201218,0056,14,10,8916000,0.37
20201218,0056,15,42,443751963,18.90
20201218,0056,16,0,0,0.00
20201218,0056,17,356657,2347034000,100.00
20201218,0057,1,50,3259,0.05
20201218,0057,2,64,103220,1.86
20201218,0057,3,4,32000,0.57
20201218,0057,4,2,27000,0.48
20201218,0057,5,2,34000,0.61
20201218,0057,6,5,136000,2.46
20201218,0057,7,0,0,0.00
20201218,0057,8,0,0,0.00
20201218,0057,9,1,82000,1.48
20201218,0057,10,1,155000,2.80
20201218,0057,11,2,470000,8.50
20201218,0057,12,1,450521,8.15
20201218,0057,13,0,0,0.00
20201218,0057,14,0,0,0.00
20201218,0057,15,2,4034000,72.98
20201218,0057,16,0,0,0.00
20201218,0057,17,134,5527000,100.00
20201218,0061,1,540,150430,0.09
20201218,0061,2,5718,13260828,8.38
20201218,0061,3,1373,11636521,7.35
20201218,0061,4,452,5987997,3.78
20201218,0061,5,362,6908441,4.36
