資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200620,0050,1,54351,13521276,0.92
20200620,0050,2,94816,180215999,12.28
20200620,0050,3,9582,73997835,5.04
20200620,0050,4,2574,32974231,2.24
20200620,0050,5,1419,25864272,1.76
20200620,0050,6,1110,27891108,1.90
20200620,0050,7,513,18325606,1.24
20200620,0050,8,297,13802535,0.94
20200620,0050,9,468,33277161,2.26
20200620,0050,10,164,23522371,1.60
20200620,0050,11,60,17528660,1.19
20200620,0050,12,17,8100920,0.55
20200620,0050,13,8,5483974,0.37
20200620,0050,14,13,11797557,0.80
20200620,0050,15,61,980696495,66.85
20200620,0050,16,0,0,0.00
20200620,0050,17,165453,1467000000,100.00
20200620,0051,1,302,56605,0.56
20200620,0051,2,1460,2750728,27.50
20200620,0051,3,127,1019088,10.19
20200620,0051,4,31,380645,3.80
20200620,0051,5,28,523000,5.23
20200620,0051,6,13,335000,3.35
20200620,0051,7,11,364000,3.64
20200620,0051,8,5,231934,2.31
20200620,0051,9,8,518000,5.18
20200620,0051,10,4,502000,5.02
20200620,0051,11,3,960000,9.60
20200620,0051,12,2,855000,8.55
20200620,0051,13,2,1504000,15.04
20200620,0051,14,0,0,0.00
20200620,0051,15,0,0,0.00
20200620,0051,16,0,0,0.00
20200620,0051,17,1996,10000000,100.00
20200620,0052,1,1959,481517,2.23
20200620,0052,2,957,1717634,7.98
20200620,0052,3,87,671188,3.12
20200620,0052,4,8,101696,0.47
20200620,0052,5,11,203000,0.94
20200620,0052,6,4,95000,0.44
20200620,0052,7,1,39000,0.18
20200620,0052,8,3,128000,0.59
20200620,0052,9,6,438965,2.04
20200620,0052,10,4,600000,2.79
20200620,0052,11,1,295000,1.37
20200620,0052,12,0,0,0.00
20200620,0052,13,0,0,0.00
20200620,0052,14,0,0,0.00
20200620,0052,15,2,16729000,77.80
20200620,0052,16,0,0,0.00
20200620,0052,17,3043,21500000,100.00
20200620,0053,1,70,6750,0.10
20200620,0053,2,713,1438250,22.16
20200620,0053,3,91,783000,12.06
20200620,0053,4,11,147000,2.26
20200620,0053,5,21,408000,6.28
20200620,0053,6,6,149000,2.29
20200620,0053,7,2,76000,1.17
20200620,0053,8,3,148000,2.28
20200620,0053,9,2,155000,2.38
20200620,0053,10,1,200000,3.08
20200620,0053,11,1,328000,5.05
20200620,0053,12,1,594000,9.15
20200620,0053,13,1,682000,10.51
20200620,0053,14,0,0,0.00
20200620,0053,15,1,1373000,21.16
20200620,0053,16,0,0,0.00
20200620,0053,17,924,6488000,100.00
20200620,0054,1,62,5065,0.05
20200620,0054,2,864,1805893,17.83
20200620,0054,3,136,1175000,11.60
20200620,0054,4,43,585000,5.77
20200620,0054,5,37,719000,7.10
20200620,0054,6,8,209042,2.06
20200620,0054,7,11,410000,4.04
20200620,0054,8,5,237000,2.34
20200620,0054,9,5,432000,4.26
20200620,0054,10,4,603000,5.95
20200620,0054,11,3,1055000,10.42
20200620,0054,12,1,482000,4.76
20200620,0054,13,0,0,0.00
20200620,0054,14,0,0,0.00
20200620,0054,15,1,2406000,23.76
20200620,0054,16,0,0,0.00
20200620,0054,17,1180,10124000,100.00
20200620,0055,1,208,41473,0.11
20200620,0055,2,2506,5423364,14.79
20200620,0055,3,465,3928669,10.71
20200620,0055,4,111,1463140,3.99
20200620,0055,5,107,2028348,5.53
20200620,0055,6,78,2074181,5.65
20200620,0055,7,45,1620300,4.42
20200620,0055,8,26,1246000,3.39
20200620,0055,9,36,2620000,7.14
20200620,0055,10,17,2260000,6.16
20200620,0055,11,9,2578525,7.03
20200620,0055,12,2,932000,2.54
20200620,0055,13,1,798000,2.17
20200620,0055,14,0,0,0.00
20200620,0055,15,3,9640000,26.29
20200620,0055,16,0,0,0.00
20200620,0055,17,3614,36654000,100.00
20200620,0056,1,33096,11430341,0.55
20200620,0056,2,193544,421504029,20.32
20200620,0056,3,34642,275344106,13.27
20200620,0056,4,10949,141159553,6.80
20200620,0056,5,6799,126025585,6.07
20200620,0056,6,5501,141163298,6.80
20200620,0056,7,2468,88906467,4.28
20200620,0056,8,1567,72716330,3.50
20200620,0056,9,2394,170503991,8.22
20200620,0056,10,790,109045586,5.25
20200620,0056,11,219,60840290,2.93
20200620,0056,12,33,16660248,0.80
20200620,0056,13,16,11407000,0.54
20200620,0056,14,6,5544000,0.26
20200620,0056,15,43,421783176,20.33
20200620,0056,16,0,0,0.00
20200620,0056,17,292067,2074034000,100.00
20200620,0057,1,26,1479,0.02
20200620,0057,2,64,110000,2.18
20200620,0057,3,6,49000,0.97
20200620,0057,4,3,37000,0.73
20200620,0057,5,2,35000,0.69
20200620,0057,6,3,79000,1.57
20200620,0057,7,1,33000,0.65
20200620,0057,8,1,49521,0.98
20200620,0057,9,2,146000,2.90
20200620,0057,10,2,288000,5.72
20200620,0057,11,1,268000,5.33
20200620,0057,12,0,0,0.00
20200620,0057,13,0,0,0.00
20200620,0057,14,0,0,0.00
20200620,0057,15,2,3931000,78.19
20200620,0057,16,0,0,0.00
20200620,0057,17,113,5027000,100.00
20200620,0061,1,550,160828,0.06
20200620,0061,2,7599,18089731,7.56
20200620,0061,3,1948,16571166,6.93
20200620,0061,4,694,9198493,3.84
20200620,0061,5,552,10480211,4.38
20200620,0061,6,485,12852031,5.37
20200620,0061,7,269,9912587,4.14
20200620,0061,8,211,10098000,4.22
20200620,0061,9,372,27275154,11.40
20200620,0061,10,168,24495488,10.24
20200620,0061,11,73,19835418,8.29
20200620,0061,12,23,11581893,4.84
20200620,0061,13,15,10540000,4.40
20200620,0061,14,6,5209000,2.17
20200620,0061,15,20,52816000,22.08
20200620,0061,16,0,0,0.00
20200620,0061,17,12985,239116000,100.00
20200620,006201,1,81,18410,0.09
20200620,006201,2,962,2153507,10.79
20200620,006201,3,196,1693421,8.49
20200620,006201,4,42,565000,2.83
20200620,006201,5,47,880670,4.41
20200620,006201,6,29,786000,3.94
20200620,006201,7,9,328000,1.64
20200620,006201,8,2,92000,0.46
20200620,006201,9,7,433000,2.17
20200620,006201,10,4,554000,2.77
20200620,006201,11,2,509000,2.55
20200620,006201,12,2,1118000,5.60
20200620,006201,13,1,637992,3.19
20200620,006201,14,0,0,0.00
20200620,006201,15,3,10177000,51.02
20200620,006201,16,0,0,0.00
20200620,006201,17,1387,19946000,100.00
20200620,006203,1,37,4165,0.03
20200620,006203,2,203,321835,2.74
20200620,006203,3,11,92000,0.78
20200620,006203,4,1,11000,0.09
20200620,006203,5,6,112000,0.95
20200620,006203,6,2,43000,0.36
20200620,006203,7,4,140000,1.19
20200620,006203,8,1,42000,0.35
20200620,006203,9,1,79000,0.67
20200620,006203,10,0,0,0.00
20200620,006203,11,1,290000,2.47
20200620,006203,12,3,1403000,11.97
20200620,006203,13,1,680000,5.80
20200620,006203,14,0,0,0.00
20200620,006203,15,2,8500000,72.53
20200620,006203,16,0,0,0.00
20200620,006203,17,273,11718000,100.00
20200620,006204,1,203,16431,1.09
20200620,006204,2,149,252771,16.85
