資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200313,0050,1,41435,10280567,1.21
20200313,0050,2,79073,151896854,17.97
20200313,0050,3,8122,62664717,7.41
20200313,0050,4,2161,27641353,3.27
20200313,0050,5,1284,23409205,2.77
20200313,0050,6,1009,25636082,3.03
20200313,0050,7,421,15126058,1.79
20200313,0050,8,266,12302693,1.45
20200313,0050,9,420,29863229,3.53
20200313,0050,10,149,21230484,2.51
20200313,0050,11,60,17435913,2.06
20200313,0050,12,17,8383356,0.99
20200313,0050,13,8,5333885,0.63
20200313,0050,14,8,7109000,0.84
20200313,0050,15,58,438577604,51.90
20200313,0050,16,2,11891000,1.40
20200313,0050,17,134491,845000000,101.00
20200313,0051,1,277,48490,0.51
20200313,0051,2,1513,2858950,30.09
20200313,0051,3,122,1001318,10.54
20200313,0051,4,32,400308,4.21
20200313,0051,5,27,507000,5.33
20200313,0051,6,15,388000,4.08
20200313,0051,7,11,374934,3.94
20200313,0051,8,3,143000,1.50
20200313,0051,9,8,554000,5.83
20200313,0051,10,4,519000,5.46
20200313,0051,11,3,770000,8.10
20200313,0051,12,1,428000,4.50
20200313,0051,13,2,1507000,15.86
20200313,0051,14,0,0,0.00
20200313,0051,15,0,0,0.00
20200313,0051,16,0,0,0.00
20200313,0051,17,2018,9500000,100.00
20200313,0052,1,1619,339524,1.13
20200313,0052,2,775,1424466,4.74
20200313,0052,3,60,472764,1.57
20200313,0052,4,9,113521,0.37
20200313,0052,5,7,130000,0.43
20200313,0052,6,10,252058,0.84
20200313,0052,7,1,35000,0.11
20200313,0052,8,3,141000,0.47
20200313,0052,9,3,211000,0.70
20200313,0052,10,5,702000,2.34
20200313,0052,11,0,0,0.00
20200313,0052,12,1,433667,1.44
20200313,0052,13,0,0,0.00
20200313,0052,14,0,0,0.00
20200313,0052,15,2,25745000,85.81
20200313,0052,16,0,0,0.00
20200313,0052,17,2495,30000000,100.00
20200313,0053,1,64,6738,0.12
20200313,0053,2,686,1420262,25.87
20200313,0053,3,91,781000,14.23
20200313,0053,4,11,147000,2.67
20200313,0053,5,24,461000,8.40
20200313,0053,6,5,124000,2.25
20200313,0053,7,1,40000,0.72
20200313,0053,8,4,189000,3.44
20200313,0053,9,2,155000,2.82
20200313,0053,10,1,132000,2.40
20200313,0053,11,1,238000,4.33
20200313,0053,12,1,406000,7.39
20200313,0053,13,0,0,0.00
20200313,0053,14,0,0,0.00
20200313,0053,15,1,1388000,25.29
20200313,0053,16,0,0,0.00
20200313,0053,17,892,5488000,100.00
20200313,0054,1,57,5567,0.05
20200313,0054,2,887,1870363,18.47
20200313,0054,3,136,1172000,11.57
20200313,0054,4,46,620000,6.12
20200313,0054,5,40,779000,7.69
20200313,0054,6,11,277070,2.73
20200313,0054,7,10,378000,3.73
20200313,0054,8,6,281000,2.77
20200313,0054,9,6,492000,4.85
20200313,0054,10,4,603000,5.95
20200313,0054,11,2,663000,6.54
20200313,0054,12,1,511000,5.04
20200313,0054,13,0,0,0.00
20200313,0054,14,0,0,0.00
20200313,0054,15,1,2472000,24.41
20200313,0054,16,0,0,0.00
20200313,0054,17,1207,10124000,100.00
20200313,0055,1,205,38950,0.10
20200313,0055,2,2506,5428614,14.81
20200313,0055,3,469,3964754,10.81
20200313,0055,4,121,1601000,4.36
20200313,0055,5,115,2171757,5.92
20200313,0055,6,76,2036400,5.55
20200313,0055,7,46,1651000,4.50
20200313,0055,8,25,1204000,3.28
20200313,0055,9,37,2673000,7.29
20200313,0055,10,16,2074525,5.65
20200313,0055,11,9,2433000,6.63
20200313,0055,12,2,980000,2.67
20200313,0055,13,1,798000,2.17
20200313,0055,14,0,0,0.00
20200313,0055,15,3,9599000,26.18
20200313,0055,16,0,0,0.00
20200313,0055,17,3631,36654000,100.00
20200313,0056,1,23399,7795718,0.48
20200313,0056,2,164779,362325792,22.41
20200313,0056,3,29453,234309501,14.49
20200313,0056,4,9196,118637704,7.33
20200313,0056,5,5696,105635342,6.53
20200313,0056,6,4551,116916047,7.23
20200313,0056,7,2108,76008811,4.70
20200313,0056,8,1262,58598354,3.62
20200313,0056,9,1831,129811774,8.03
20200313,0056,10,620,84886926,5.25
20200313,0056,11,200,54932167,3.39
20200313,0056,12,34,17157000,1.06
20200313,0056,13,12,8688243,0.53
20200313,0056,14,7,6186000,0.38
20200313,0056,15,39,368721287,22.80
20200313,0056,16,3,134076666,8.29
20200313,0056,17,243187,1616534000,108.00
20200313,0057,1,22,1479,0.03
20200313,0057,2,58,106000,2.34
20200313,0057,3,4,35000,0.77
20200313,0057,4,1,12000,0.26
20200313,0057,5,3,51000,1.12
20200313,0057,6,2,57000,1.25
20200313,0057,7,1,33000,0.72
20200313,0057,8,0,0,0.00
20200313,0057,9,3,274000,6.05
20200313,0057,10,1,162000,3.57
20200313,0057,11,3,880521,19.45
20200313,0057,12,0,0,0.00
20200313,0057,13,0,0,0.00
20200313,0057,14,0,0,0.00
20200313,0057,15,1,2915000,64.39
20200313,0057,16,0,0,0.00
20200313,0057,17,99,4527000,100.00
20200313,0061,1,535,151191,0.05
20200313,0061,2,7961,18874064,7.44
20200313,0061,3,2064,17569749,6.92
20200313,0061,4,700,9294282,3.66
20200313,0061,5,574,10873431,4.28
20200313,0061,6,527,13997945,5.51
20200313,0061,7,284,10424226,4.11
20200313,0061,8,224,10746129,4.23
20200313,0061,9,393,28771000,11.34
20200313,0061,10,171,24714983,9.74
20200313,0061,11,75,20466000,8.06
20200313,0061,12,24,11880000,4.68
20200313,0061,13,17,11775000,4.64
20200313,0061,14,7,6174000,2.43
20200313,0061,15,21,57904000,22.83
20200313,0061,16,0,0,0.00
20200313,0061,17,13577,253616000,100.00
20200313,006201,1,72,12334,0.05
20200313,006201,2,1082,2456430,11.45
20200313,006201,3,219,1897574,8.84
20200313,006201,4,45,594670,2.77
20200313,006201,5,48,899000,4.19
20200313,006201,6,28,751000,3.50
20200313,006201,7,10,347000,1.61
20200313,006201,8,5,229000,1.06
20200313,006201,9,10,636992,2.97
20200313,006201,10,6,897000,4.18
20200313,006201,11,0,0,0.00
20200313,006201,12,1,534000,2.48
20200313,006201,13,0,0,0.00
20200313,006201,14,0,0,0.00
20200313,006201,15,4,12191000,56.84
20200313,006201,16,0,0,0.00
20200313,006201,17,1530,21446000,100.00
20200313,006203,1,35,3606,0.03
20200313,006203,2,204,328394,3.06
20200313,006203,3,11,95000,0.88
20200313,006203,4,0,0,0.00
20200313,006203,5,7,129000,1.20
20200313,006203,6,0,0,0.00
20200313,006203,7,3,101000,0.94
20200313,006203,8,1,42000,0.39
20200313,006203,9,0,0,0.00
20200313,006203,10,1,114000,1.06
20200313,006203,11,0,0,0.00
20200313,006203,12,3,1405000,13.10
20200313,006203,13,0,0,0.00
20200313,006203,14,0,0,0.00
