資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20201113,0050,1,80620,18159107,1.95
20201113,0050,2,74015,137930474,14.81
20201113,0050,3,6953,53365960,5.73
20201113,0050,4,1902,24308986,2.61
20201113,0050,5,1021,18634713,2.00
20201113,0050,6,822,20754627,2.22
20201113,0050,7,344,12161242,1.30
20201113,0050,8,210,9721246,1.04
20201113,0050,9,355,25229118,2.70
20201113,0050,10,128,17683736,1.89
20201113,0050,11,68,19824803,2.12
20201113,0050,12,16,7722616,0.82
20201113,0050,13,6,4310000,0.46
20201113,0050,14,10,9001000,0.96
20201113,0050,15,56,552192372,59.31
20201113,0050,16,0,0,0.00
20201113,0050,17,166526,931000000,100.00
20201113,0051,1,636,124336,1.24
20201113,0051,2,1769,3248840,32.48
20201113,0051,3,134,1073815,10.73
20201113,0051,4,37,458645,4.58
20201113,0051,5,28,522000,5.22
20201113,0051,6,15,397000,3.97
20201113,0051,7,11,379430,3.79
20201113,0051,8,5,232934,2.32
20201113,0051,9,7,486000,4.86
20201113,0051,10,6,885000,8.85
20201113,0051,11,1,289000,2.89
20201113,0051,12,1,422000,4.22
20201113,0051,13,2,1481000,14.81
20201113,0051,14,0,0,0.00
20201113,0051,15,0,0,0.00
20201113,0051,16,0,0,0.00
20201113,0051,17,2652,10000000,100.00
20201113,0052,1,4114,803568,2.67
20201113,0052,2,2563,4346480,14.48
20201113,0052,3,165,1292575,4.30
20201113,0052,4,41,532023,1.77
20201113,0052,5,21,403311,1.34
20201113,0052,6,13,310165,1.03
20201113,0052,7,8,270655,0.90
20201113,0052,8,3,128000,0.42
20201113,0052,9,4,328000,1.09
20201113,0052,10,7,1156000,3.85
20201113,0052,11,2,622000,2.07
20201113,0052,12,1,528493,1.76
20201113,0052,13,0,0,0.00
20201113,0052,14,0,0,0.00
20201113,0052,15,6,19278730,64.26
20201113,0052,16,0,0,0.00
20201113,0052,17,6948,30000000,100.00
20201113,0053,1,170,20907,0.38
20201113,0053,2,741,1468093,26.75
20201113,0053,3,84,728000,13.26
20201113,0053,4,12,160000,2.91
20201113,0053,5,21,407000,7.41
20201113,0053,6,4,104000,1.89
20201113,0053,7,2,75000,1.36
20201113,0053,8,2,100000,1.82
