資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20191227,0050,1,35809,9195653,1.31
20191227,0050,2,46925,87934309,12.55
20191227,0050,3,4527,35195489,5.02
20191227,0050,4,1225,15744485,2.24
20191227,0050,5,685,12516960,1.78
20191227,0050,6,589,15029759,2.14
20191227,0050,7,249,8893086,1.26
20191227,0050,8,169,7794573,1.11
20191227,0050,9,296,21017124,3.00
20191227,0050,10,95,13480166,1.92
20191227,0050,11,45,12735616,1.81
20191227,0050,12,17,8438001,1.20
20191227,0050,13,10,6854655,0.97
20191227,0050,14,4,3643000,0.52
20191227,0050,15,52,442027124,63.10
20191227,0050,16,0,0,0.00
20191227,0050,17,90697,700500000,100.00
20191227,0051,1,263,43707,0.46
20191227,0051,2,1502,2845815,29.95
20191227,0051,3,125,1017913,10.71
20191227,0051,4,30,372631,3.92
20191227,0051,5,28,526000,5.53
20191227,0051,6,14,371000,3.90
20191227,0051,7,11,376934,3.96
20191227,0051,8,3,143000,1.50
20191227,0051,9,7,466000,4.90
20191227,0051,10,5,632000,6.65
20191227,0051,11,3,751000,7.90
20191227,0051,12,1,430000,4.52
20191227,0051,13,2,1524000,16.04
20191227,0051,14,0,0,0.00
20191227,0051,15,0,0,0.00
20191227,0051,16,0,0,0.00
20191227,0051,17,1994,9500000,100.00
20191227,0052,1,1198,251618,0.76
20191227,0052,2,565,1018202,3.08
20191227,0052,3,45,363355,1.10
20191227,0052,4,9,116921,0.35
20191227,0052,5,5,96000,0.29
20191227,0052,6,4,97470,0.29
20191227,0052,7,0,0,0.00
20191227,0052,8,2,98000,0.29
20191227,0052,9,2,133000,0.40
20191227,0052,10,4,600434,1.81
20191227,0052,11,0,0,0.00
20191227,0052,12,0,0,0.00
20191227,0052,13,0,0,0.00
20191227,0052,14,0,0,0.00
20191227,0052,15,2,30225000,91.59
20191227,0052,16,0,0,0.00
20191227,0052,17,1836,33000000,100.00
20191227,0053,1,61,5233,0.09
20191227,0053,2,652,1363767,24.84
20191227,0053,3,88,764000,13.92
20191227,0053,4,14,186000,3.38
20191227,0053,5,24,461000,8.40
20191227,0053,6,4,101000,1.84
20191227,0053,7,3,107000,1.94
20191227,0053,8,2,100000,1.82
20191227,0053,9,2,155000,2.82
20191227,0053,10,2,323000,5.88
20191227,0053,11,0,0,0.00
20191227,0053,12,1,401000,7.30
20191227,0053,13,0,0,0.00
20191227,0053,14,0,0,0.00
20191227,0053,15,1,1521000,27.71
20191227,0053,16,0,0,0.00
20191227,0053,17,854,5488000,100.00
20191227,0054,1,57,5161,0.05
20191227,0054,2,890,1871769,18.48
20191227,0054,3,142,1220000,12.05
20191227,0054,4,47,631000,6.23
20191227,0054,5,41,796000,7.86
20191227,0054,6,9,235000,2.32
20191227,0054,7,11,414070,4.08
20191227,0054,8,6,281000,2.77
20191227,0054,9,7,561000,5.54
20191227,0054,10,4,603000,5.95
20191227,0054,11,1,400000,3.95
20191227,0054,12,1,521000,5.14
20191227,0054,13,0,0,0.00
20191227,0054,14,0,0,0.00
20191227,0054,15,1,2585000,25.53
20191227,0054,16,0,0,0.00
20191227,0054,17,1217,10124000,100.00
20191227,0055,1,204,37842,0.10
20191227,0055,2,2454,5431946,14.81
20191227,0055,3,473,4026460,10.98
20191227,0055,4,115,1523000,4.15
20191227,0055,5,117,2218527,6.05
20191227,0055,6,78,2088400,5.69
20191227,0055,7,46,1639000,4.47
20191227,0055,8,25,1199000,3.27
20191227,0055,9,37,2721000,7.42
20191227,0055,10,16,2145825,5.85
20191227,0055,11,8,2200000,6.00
20191227,0055,12,2,1062000,2.89
20191227,0055,13,1,798000,2.17
20191227,0055,14,0,0,0.00
20191227,0055,15,3,9563000,26.08
20191227,0055,16,0,0,0.00
20191227,0055,17,3579,36654000,100.00
20191227,0056,1,20002,6661425,0.60
20191227,0056,2,116692,247763102,22.60
20191227,0056,3,18323,148731545,13.56
20191227,0056,4,5394,69621208,6.35
20191227,0056,5,3670,68638007,6.26
20191227,0056,6,2743,71090699,6.48
20191227,0056,7,1282,46049238,4.20
20191227,0056,8,771,36114874,3.29
20191227,0056,9,1259,90492199,8.25
20191227,0056,10,382,52733057,4.81
20191227,0056,11,149,40042728,3.65
20191227,0056,12,25,12153167,1.10
20191227,0056,13,8,5571000,0.50
20191227,0056,14,7,6529786,0.59
20191227,0056,15,30,193841965,17.68
20191227,0056,16,0,0,0.00
20191227,0056,17,170737,1096034000,100.00
20191227,0057,1,20,479,0.01
20191227,0057,2,56,92000,2.03
20191227,0057,3,5,45000,0.99
20191227,0057,4,1,12000,0.26
20191227,0057,5,2,36000,0.79
20191227,0057,6,1,30000,0.66
20191227,0057,7,1,33000,0.72
20191227,0057,8,0,0,0.00
20191227,0057,9,2,156000,3.44
20191227,0057,10,1,149000,3.29
20191227,0057,11,4,1055521,23.31
20191227,0057,12,0,0,0.00
20191227,0057,13,0,0,0.00
20191227,0057,14,0,0,0.00
20191227,0057,15,1,2918000,64.45
20191227,0057,16,0,0,0.00
20191227,0057,17,94,4527000,100.00
20191227,0058,1,3,822,0.11
20191227,0058,2,47,81000,11.63
20191227,0058,3,5,42000,6.03
20191227,0058,4,3,35000,5.02
20191227,0058,5,1,20000,2.87
20191227,0058,6,0,0,0.00
20191227,0058,7,0,0,0.00
20191227,0058,8,1,45000,6.46
20191227,0058,9,0,0,0.00
20191227,0058,10,1,136000,19.54
20191227,0058,11,1,336178,48.30
20191227,0058,12,0,0,0.00
20191227,0058,13,0,0,0.00
20191227,0058,14,0,0,0.00
20191227,0058,15,0,0,0.00
20191227,0058,16,0,0,0.00
20191227,0058,17,62,696000,100.00
20191227,0059,1,27,2721,0.27
20191227,0059,2,86,144000,14.79
20191227,0059,3,9,83000,8.53
20191227,0059,4,3,39000,4.00
20191227,0059,5,2,36000,3.69
20191227,0059,6,1,24000,2.46
20191227,0059,7,2,66000,6.78
20191227,0059,8,0,0,0.00
20191227,0059,9,2,144279,14.82
20191227,0059,10,0,0,0.00
20191227,0059,11,0,0,0.00
20191227,0059,12,1,434000,44.60
20191227,0059,13,0,0,0.00
20191227,0059,14,0,0,0.00
20191227,0059,15,0,0,0.00
20191227,0059,16,0,0,0.00
20191227,0059,17,133,973000,100.00
20191227,0061,1,530,151666,0.04
20191227,0061,2,8882,21338833,7.02
20191227,0061,3,2421,20642305,6.79
20191227,0061,4,848,11284939,3.71
20191227,0061,5,695,13147439,4.33
20191227,0061,6,647,17133116,5.64
20191227,0061,7,344,12739218,4.19
20191227,0061,8,262,12547820,4.13
20191227,0061,9,487,36005223,11.85
20191227,0061,10,216,31408542,10.34
20191227,0061,11,104,29002418,9.55
20191227,0061,12,33,16810893,5.53
20191227,0061,13,20,13899000,4.57
20191227,0061,14,8,7095588,2.33
20191227,0061,15,21,60409000,19.89
20191227,0061,16,0,0,0.00
20191227,0061,17,15518,303616000,100.00
20191227,006201,1,66,11257,0.04
20191227,006201,2,1058,2384081,8.53
20191227,006201,3,220,1931000,6.90
20191227,006201,4,44,597670,2.13
20191227,006201,5,53,981000,3.51
20191227,006201,6,25,682000,2.44
20191227,006201,7,10,363000,1.29
20191227,006201,8,6,283992,1.01
20191227,006201,9,12,736000,2.63
20191227,006201,10,6,894000,3.19
20191227,006201,11,0,0,0.00
20191227,006201,12,1,495000,1.77
20191227,006201,13,0,0,0.00
20191227,006201,14,0,0,0.00
20191227,006201,15,5,18587000,66.51
20191227,006201,16,0,0,0.00
20191227,006201,17,1506,27946000,100.00
20191227,006203,1,29,2777,0.02
20191227,006203,2,157,234223,2.18
20191227,006203,3,5,46000,0.42
20191227,006203,4,0,0,0.00
20191227,006203,5,3,52000,0.48
20191227,006203,6,0,0,0.00
20191227,006203,7,2,62000,0.57
20191227,006203,8,1,42000,0.39
20191227,006203,9,1,51000,0.47
20191227,006203,10,0,0,0.00
20191227,006203,11,1,323000,3.01
20191227,006203,12,3,1405000,13.10
20191227,006203,13,0,0,0.00
20191227,006203,14,0,0,0.00
20191227,006203,15,2,8500000,79.30
20191227,006203,16,0,0,0.00
20191227,006203,17,204,10718000,100.00
20191227,006204,1,108,11663,0.58
20191227,006204,2,148,255477,12.77
20191227,006204,3,13,104621,5.23
20191227,006204,4,2,25000,1.25
20191227,006204,5,2,36000,1.80
20191227,006204,6,4,103304,5.16
20191227,006204,7,0,0,0.00
20191227,006204,8,2,96000,4.80
20191227,006204,9,1,90000,4.50
20191227,006204,10,0,0,0.00
20191227,006204,11,1,277935,13.89
20191227,006204,12,0,0,0.00
20191227,006204,13,0,0,0.00
20191227,006204,14,1,1000000,50.00
20191227,006204,15,0,0,0.00
20191227,006204,16,0,0,0.00
20191227,006204,17,282,2000000,100.00
20191227,006205,1,5481,2388675,0.73
20191227,006205,2,10449,24490286,7.55
20191227,006205,3,2204,17403099,5.36
20191227,006205,4,714,9312236,2.87
20191227,006205,5,539,9998585,3.08
20191227,006205,6,479,12507126,3.85
20191227,006205,7,230,8356970,2.57
20191227,006205,8,171,8085138,2.49
20191227,006205,9,297,21644033,6.67
20191227,006205,10,132,19207983,5.92
20191227,006205,11,49,14020932,4.32
20191227,006205,12,25,12468000,3.84
20191227,006205,13,8,5678922,1.75
20191227,006205,14,7,6575000,2.02
20191227,006205,15,24,152104015,46.91
20191227,006205,16,0,0,0.00
20191227,006205,17,20809,324241000,100.00
20191227,006206,1,1116,374306,0.38
20191227,006206,2,3858,8711097,8.90
20191227,006206,3,805,6617434,6.76
20191227,006206,4,285,3736557,3.82
20191227,006206,5,221,4158669,4.25
20191227,006206,6,181,4820374,4.92
20191227,006206,7,95,3439289,3.51
20191227,006206,8,58,2732038,2.79
20191227,006206,9,132,9520435,9.73
20191227,006206,10,35,4848331,4.95
20191227,006206,11,21,5597000,5.72
20191227,006206,12,7,3376122,3.45
20191227,006206,13,1,664348,0.67
20191227,006206,14,0,0,0.00
20191227,006206,15,6,39182000,40.07
20191227,006206,16,0,0,0.00
20191227,006206,17,6821,97778000,100.00
20191227,006207,1,103,25662,0.03
20191227,006207,2,2427,5761384,6.78
20191227,006207,3,635,5215869,6.14
20191227,006207,4,221,2848229,3.35
20191227,006207,5,193,3616337,4.25
20191227,006207,6,196,5066532,5.96
20191227,006207,7,93,3355558,3.95
20191227,006207,8,82,3839000,4.52
20191227,006207,9,140,10338429,12.17
20191227,006207,10,71,10448000,12.30
20191227,006207,11,37,10488000,12.35
20191227,006207,12,3,1513000,1.78
20191227,006207,13,3,2075000,2.44
20191227,006207,14,5,4476000,5.27
20191227,006207,15,9,15825000,18.64
20191227,006207,16,0,0,0.00
20191227,006207,17,4218,84892000,100.00
20191227,006208,1,7886,2430041,5.45
20191227,006208,2,6161,11095026,24.91
20191227,006208,3,428,3289664,7.38
20191227,006208,4,91,1154423,2.59
20191227,006208,5,42,774014,1.73
20191227,006208,6,45,1125630,2.52
20191227,006208,7,12,417096,0.93
20191227,006208,8,4,185050,0.41
20191227,006208,9,10,708244,1.59
20191227,006208,10,5,741186,1.66
20191227,006208,11,3,1085626,2.43
20191227,006208,12,1,504000,1.13
20191227,006208,13,0,0,0.00
20191227,006208,14,0,0,0.00
20191227,006208,15,1,21030000,47.21
20191227,006208,16,0,0,0.00
20191227,006208,17,14689,44540000,100.00
20191227,00625K,1,0,0,0.00
20191227,00625K,2,6,15000,2.82
20191227,00625K,3,2,16000,3.01
20191227,00625K,4,1,15000,2.82
20191227,00625K,5,2,36000,6.77
20191227,00625K,6,2,45000,8.47
20191227,00625K,7,2,75000,14.12
20191227,00625K,8,0,0,0.00
20191227,00625K,9,2,114000,21.46
20191227,00625K,10,0,0,0.00
20191227,00625K,11,1,215000,40.48
20191227,00625K,12,0,0,0.00
20191227,00625K,13,0,0,0.00
20191227,00625K,14,0,0,0.00
20191227,00625K,15,0,0,0.00
20191227,00625K,16,0,0,0.00
20191227,00625K,17,18,531000,100.00
20191227,00631L,1,42,2212,0.01
20191227,00631L,2,535,1093151,6.21
20191227,00631L,3,91,728000,4.14
20191227,00631L,4,32,401000,2.28
20191227,00631L,5,23,430100,2.44
20191227,00631L,6,35,946000,5.37
20191227,00631L,7,13,489000,2.78
20191227,00631L,8,11,517000,2.94
20191227,00631L,9,16,1145000,6.51
20191227,00631L,10,13,1931000,10.98
20191227,00631L,11,10,2648000,15.05
20191227,00631L,12,5,2569537,14.61
20191227,00631L,13,1,655000,3.72
20191227,00631L,14,0,0,0.00
20191227,00631L,15,3,4037000,22.95
20191227,00631L,16,1,8000,0.04
20191227,00631L,17,830,17584000,100.00
20191227,00632R,1,124,26329,0.00
20191227,00632R,2,15088,42591897,0.74
20191227,00632R,3,8643,73086802,1.27
20191227,00632R,4,4048,53760047,0.93
20191227,00632R,5,4215,79566716,1.38
20191227,00632R,6,4762,125853901,2.18
20191227,00632R,7,2973,108956501,1.89
20191227,00632R,8,2412,113654200,1.97
20191227,00632R,9,5739,428404379,7.45
20191227,00632R,10,3457,505389543,8.79
20191227,00632R,11,1910,544212805,9.46
20191227,00632R,12,552,273872010,4.76
20191227,00632R,13,227,157973000,2.74
20191227,00632R,14,131,120629000,2.09
20191227,00632R,15,360,3120171870,54.28
20191227,00632R,16,0,0,0.00
20191227,00632R,17,54641,5748149000,100.00
20191227,00633L,1,80,13576,0.00
20191227,00633L,2,4546,11353106,3.06
20191227,00633L,3,1578,13118688,3.54
20191227,00633L,4,658,8724005,2.35
20191227,00633L,5,578,10793668,2.91
20191227,00633L,6,603,15773000,4.26
20191227,00633L,7,341,12425430,3.35
20191227,00633L,8,248,11606827,3.13
20191227,00633L,9,552,40933576,11.06
20191227,00633L,10,303,43719000,11.81
20191227,00633L,11,144,40082000,10.83
20191227,00633L,12,44,21279000,5.75
20191227,00633L,13,19,12816000,3.46
20191227,00633L,14,16,14482000,3.91
20191227,00633L,15,46,112838124,30.50
20191227,00633L,16,0,0,0.00
20191227,00633L,17,9756,369958000,100.00
20191227,00634R,1,27,3017,0.00
20191227,00634R,2,805,2168986,1.94
20191227,00634R,3,280,2373997,2.12
20191227,00634R,4,136,1808000,1.61
20191227,00634R,5,137,2563000,2.29
20191227,00634R,6,153,4087000,3.65
20191227,00634R,7,78,2897000,2.59
20191227,00634R,8,79,3729000,3.33
20191227,00634R,9,123,9255000,8.28
20191227,00634R,10,60,9005000,8.05
20191227,00634R,11,38,11347000,10.15
20191227,00634R,12,9,4330000,3.87
20191227,00634R,13,4,3023000,2.70
20191227,00634R,14,7,6182000,5.53
20191227,00634R,15,19,48984000,43.83
20191227,00634R,16,0,0,0.00
20191227,00634R,17,1955,111756000,100.00
20191227,00635U,1,201,55203,0.07
20191227,00635U,2,3761,8728570,12.20
20191227,00635U,3,857,7083170,9.90
20191227,00635U,4,264,3469612,4.85
20191227,00635U,5,209,3960000,5.53
20191227,00635U,6,194,5015000,7.01
20191227,00635U,7,92,3370000,4.71
20191227,00635U,8,71,3383000,4.73
20191227,00635U,9,108,8033397,11.23
