資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20201225,0050,1,99294,20885057,2.23
20201225,0050,2,78699,146044847,15.61
20201225,0050,3,7285,55690129,5.95
20201225,0050,4,1958,24910229,2.66
20201225,0050,5,1066,19444462,2.07
20201225,0050,6,852,21436750,2.29
20201225,0050,7,359,12645379,1.35
20201225,0050,8,202,9422806,1.00
20201225,0050,9,384,27211721,2.90
20201225,0050,10,135,18658800,1.99
20201225,0050,11,65,18513463,1.97
20201225,0050,12,15,7505665,0.80
20201225,0050,13,7,5217000,0.55
20201225,0050,14,10,9241000,0.98
20201225,0050,15,57,538672692,57.58
20201225,0050,16,0,0,0.00
20201225,0050,17,190388,935500000,100.00
20201225,0051,1,667,139299,1.39
20201225,0051,2,1694,3104130,31.04
20201225,0051,3,131,1053041,10.53
20201225,0051,4,33,406923,4.06
20201225,0051,5,28,522000,5.22
20201225,0051,6,13,349000,3.49
20201225,0051,7,10,339673,3.39
20201225,0051,8,5,232934,2.32
20201225,0051,9,7,480000,4.80
20201225,0051,10,6,846000,8.46
20201225,0051,11,2,590000,5.90
20201225,0051,12,1,438000,4.38
20201225,0051,13,2,1499000,14.99
20201225,0051,14,0,0,0.00
20201225,0051,15,0,0,0.00
20201225,0051,16,0,0,0.00
20201225,0051,17,2599,10000000,100.00
20201225,0052,1,5367,983356,2.93
20201225,0052,2,2983,5201590,15.52
20201225,0052,3,195,1534360,4.58
20201225,0052,4,40,510999,1.52
20201225,0052,5,25,458348,1.36
20201225,0052,6,18,440571,1.31
20201225,0052,7,12,411655,1.22
20201225,0052,8,4,187000,0.55
20201225,0052,9,9,675000,2.01
20201225,0052,10,3,500000,1.49
20201225,0052,11,4,1430082,4.26
20201225,0052,12,3,1411000,4.21
20201225,0052,13,1,662039,1.97
20201225,0052,14,0,0,0.00
20201225,0052,15,5,19094000,56.99
20201225,0052,16,0,0,0.00
20201225,0052,17,8669,33500000,100.00
20201225,0053,1,208,26616,0.48
20201225,0053,2,753,1473384,26.84
20201225,0053,3,87,752000,13.70
20201225,0053,4,13,172000,3.13
20201225,0053,5,20,387000,7.05
20201225,0053,6,6,158000,2.87
20201225,0053,7,2,77000,1.40
20201225,0053,8,4,196000,3.57
20201225,0053,9,1,55000,1.00
20201225,0053,10,2,217000,3.95
20201225,0053,11,2,665000,12.11
20201225,0053,12,0,0,0.00
20201225,0053,13,0,0,0.00
20201225,0053,14,0,0,0.00
20201225,0053,15,1,1309000,23.85
20201225,0053,16,0,0,0.00
20201225,0053,17,1099,5488000,100.00
20201225,0054,1,127,15571,0.20
20201225,0054,2,753,1534429,20.12
20201225,0054,3,112,966000,12.67
20201225,0054,4,41,551000,7.22
20201225,0054,5,33,639000,8.38
20201225,0054,6,6,158000,2.07
20201225,0054,7,10,383000,5.02
20201225,0054,8,6,284000,3.72
20201225,0054,9,4,328000,4.30
20201225,0054,10,2,285000,3.73
20201225,0054,11,0,0,0.00
20201225,0054,12,1,404000,5.29
20201225,0054,13,0,0,0.00
20201225,0054,14,0,0,0.00
20201225,0054,15,1,2076000,27.22
20201225,0054,16,0,0,0.00
20201225,0054,17,1096,7624000,100.00
20201225,0055,1,332,65212,0.18
20201225,0055,2,2659,5715026,15.80
20201225,0055,3,495,4149811,11.47
20201225,0055,4,136,1786566,4.94
20201225,0055,5,119,2249560,6.22
20201225,0055,6,77,2048425,5.66
20201225,0055,7,45,1624400,4.49
20201225,0055,8,25,1193000,3.29
20201225,0055,9,32,2340000,6.47
20201225,0055,10,15,1934000,5.34
20201225,0055,11,9,2603000,7.19
20201225,0055,12,2,912000,2.52
20201225,0055,13,0,0,0.00
20201225,0055,14,0,0,0.00
20201225,0055,15,3,9533000,26.36
20201225,0055,16,0,0,0.00
20201225,0055,17,3949,36154000,100.00
20201225,0056,1,55077,17673252,0.75
20201225,0056,2,228463,491177325,20.95
20201225,0056,3,39449,312488202,13.33
20201225,0056,4,12427,158997078,6.78
20201225,0056,5,7490,138579069,5.91
20201225,0056,6,6039,154347450,6.58
20201225,0056,7,2802,100365397,4.28
20201225,0056,8,1724,80178304,3.42
20201225,0056,9,2763,196880992,8.39
20201225,0056,10,947,129257470,5.51
20201225,0056,11,282,78363576,3.34
20201225,0056,12,48,24137752,1.02
20201225,0056,13,27,19083127,0.81
20201225,0056,14,11,9864000,0.42
20201225,0056,15,41,432641006,18.45
20201225,0056,16,0,0,0.00
20201225,0056,17,357590,2344034000,100.00
20201225,0057,1,51,3479,0.06
20201225,0057,2,61,99000,1.79
20201225,0057,3,4,32000,0.57
20201225,0057,4,2,27000,0.48
20201225,0057,5,3,53000,0.95
20201225,0057,6,5,136000,2.46
20201225,0057,7,0,0,0.00
20201225,0057,8,0,0,0.00
20201225,0057,9,1,76000,1.37
20201225,0057,10,1,145000,2.62
20201225,0057,11,2,463000,8.37
20201225,0057,12,1,439521,7.95
20201225,0057,13,0,0,0.00
20201225,0057,14,0,0,0.00
20201225,0057,15,2,4053000,73.33
20201225,0057,16,0,0,0.00
20201225,0057,17,133,5527000,100.00
20201225,0061,1,541,152813,0.09
20201225,0061,2,5693,13179955,8.44
20201225,0061,3,1369,11586508,7.42
20201225,0061,4,449,5946795,3.80
20201225,0061,5,361,6896441,4.41
20201225,0061,6,325,8571318,5.49
20201225,0061,7,183,6767000,4.33
20201225,0061,8,120,5699000,3.65
20201225,0061,9,246,18331000,11.74
20201225,0061,10,103,14678893,9.40
20201225,0061,11,46,12592418,8.06
20201225,0061,12,19,9256000,5.92
20201225,0061,13,12,8187000,5.24
20201225,0061,14,3,2619000,1.67
20201225,0061,15,10,31651859,20.27
20201225,0061,16,0,0,0.00
20201225,0061,17,9480,156116000,100.00
20201225,006201,1,93,16871,0.12
20201225,006201,2,852,1854923,13.30
20201225,006201,3,171,1472832,10.56
20201225,006201,4,38,487670,3.49
20201225,006201,5,33,617357,4.42
20201225,006201,6,21,547000,3.92
20201225,006201,7,6,213000,1.52
20201225,006201,8,4,187000,1.34
20201225,006201,9,5,299000,2.14
20201225,006201,10,6,819000,5.87
20201225,006201,11,3,723347,5.18
20201225,006201,12,1,476000,3.41
20201225,006201,13,1,753000,5.39
20201225,006201,14,0,0,0.00
20201225,006201,15,2,5479000,39.28
20201225,006201,16,0,0,0.00
20201225,006201,17,1236,13946000,100.00
20201225,006203,1,136,21120,0.19
20201225,006203,2,198,298880,2.78
20201225,006203,3,9,77000,0.71
20201225,006203,4,1,11000,0.10
20201225,006203,5,2,36000,0.33
20201225,006203,6,1,21000,0.19
20201225,006203,7,2,64000,0.59
20201225,006203,8,0,0,0.00
20201225,006203,9,1,61000,0.56
20201225,006203,10,0,0,0.00
20201225,006203,11,2,621000,5.79
20201225,006203,12,2,1007000,9.39
20201225,006203,13,0,0,0.00
20201225,006203,14,0,0,0.00
20201225,006203,15,2,8500000,79.30
20201225,006203,16,0,0,0.00
20201225,006203,17,356,10718000,100.00
20201225,006204,1,321,32527,1.62
20201225,006204,2,124,205596,10.27
20201225,006204,3,10,81521,4.07
20201225,006204,4,0,0,0.00
20201225,006204,5,1,20000,1.00
20201225,006204,6,1,30000,1.50
20201225,006204,7,1,36000,1.80
20201225,006204,8,0,0,0.00
20201225,006204,9,1,90000,4.50
20201225,006204,10,1,135000,6.75
20201225,006204,11,0,0,0.00
20201225,006204,12,0,0,0.00
20201225,006204,13,0,0,0.00
20201225,006204,14,0,0,0.00
20201225,006204,15,1,1369356,68.46
20201225,006204,16,0,0,0.00
20201225,006204,17,461,2000000,100.00
20201225,006205,1,5704,2170394,1.52
20201225,006205,2,6680,15155663,10.64
20201225,006205,3,1220,9470633,6.65
20201225,006205,4,401,5239175,3.67
20201225,006205,5,282,5246708,3.68
20201225,006205,6,232,6014404,4.22
20201225,006205,7,111,3936149,2.76
20201225,006205,8,77,3600028,2.52
20201225,006205,9,157,11541066,8.10
