﻿資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200515,0050,1,49661,12224083,1.19
20200515,0050,2,99834,191139753,18.71
20200515,0050,3,10422,80566531,7.88
20200515,0050,4,2769,35439810,3.46
20200515,0050,5,1522,27788819,2.72
20200515,0050,6,1249,31552010,3.08
20200515,0050,7,525,18742613,1.83
20200515,0050,8,342,15872495,1.55
20200515,0050,9,509,36154022,3.53
20200515,0050,10,179,25265202,2.47
20200515,0050,11,65,18592541,1.82
20200515,0050,12,15,7427299,0.72
20200515,0050,13,6,4296666,0.42
20200515,0050,14,9,8147000,0.79
20200515,0050,15,60,509034156,49.83
20200515,0050,16,2,743000,0.07
20200515,0050,17,167167,1021500000,100.00
20200515,0051,1,298,53993,0.56
20200515,0051,2,1534,2874868,30.26
20200515,0051,3,132,1057560,11.13
20200515,0051,4,32,392645,4.13
20200515,0051,5,32,591000,6.22
20200515,0051,6,14,362000,3.81
20200515,0051,7,11,369000,3.88
20200515,0051,8,4,183934,1.93
20200515,0051,9,8,525000,5.52
20200515,0051,10,4,510000,5.36
20200515,0051,11,3,667000,7.02
20200515,0051,12,1,415000,4.36
20200515,0051,13,2,1498000,15.76
20200515,0051,14,0,0,0.00
20200515,0051,15,0,0,0.00
20200515,0051,16,0,0,0.00
20200515,0051,17,2075,9500000,100.00
20200515,0052,1,1811,427214,1.40
20200515,0052,2,933,1688011,5.53
20200515,0052,3,82,628260,2.05
20200515,0052,4,8,99230,0.32
20200515,0052,5,6,113000,0.37
20200515,0052,6,6,138641,0.45
20200515,0052,7,2,70000,0.22
20200515,0052,8,2,87000,0.28
20200515,0052,9,5,346000,1.13
20200515,0052,10,5,683000,2.23
20200515,0052,11,2,510644,1.67
20200515,0052,12,0,0,0.00
20200515,0052,13,0,0,0.00
20200515,0052,14,0,0,0.00
20200515,0052,15,2,25709000,84.29
20200515,0052,16,0,0,0.00
20200515,0052,17,2864,30500000,100.00
20200515,0053,1,68,7268,0.11
20200515,0053,2,711,1449732,22.34
20200515,0053,3,98,836000,12.88
20200515,0053,4,11,147000,2.26
20200515,0053,5,21,408000,6.28
20200515,0053,6,6,149000,2.29
20200515,0053,7,3,111000,1.71
20200515,0053,8,2,100000,1.54
20200515,0053,9,2,155000,2.38
20200515,0053,10,1,200000,3.08
20200515,0053,11,1,368000,5.67
20200515,0053,12,2,1171000,18.04
20200515,0053,13,0,0,0.00
20200515,0053,14,0,0,0.00
20200515,0053,15,1,1386000,21.36
20200515,0053,16,0,0,0.00
20200515,0053,17,927,6488000,100.00
20200515,0054,1,60,5969,0.05
20200515,0054,2,884,1851989,18.29
20200515,0054,3,137,1186000,11.71
20200515,0054,4,44,597000,5.89
20200515,0054,5,39,759000,7.49
20200515,0054,6,9,232042,2.29
20200515,0054,7,12,442000,4.36
20200515,0054,8,5,237000,2.34
20200515,0054,9,5,432000,4.26
20200515,0054,10,5,758000,7.48
20200515,0054,11,2,712000,7.03
20200515,0054,12,1,482000,4.76
20200515,0054,13,0,0,0.00
20200515,0054,14,0,0,0.00
20200515,0054,15,1,2429000,23.99
20200515,0054,16,0,0,0.00
20200515,0054,17,1204,10124000,100.00
20200515,0055,1,205,40148,0.10
20200515,0055,2,2525,5487749,14.97
20200515,0055,3,468,3960920,10.80
20200515,0055,4,117,1541029,4.20
20200515,0055,5,109,2062348,5.62
20200515,0055,6,81,2138181,5.83
20200515,0055,7,44,1589100,4.33
20200515,0055,8,26,1246000,3.39
20200515,0055,9,35,2516000,6.86
20200515,0055,10,17,2313000,6.31
20200515,0055,11,7,2002000,5.46
20200515,0055,12,3,1353525,3.69
20200515,0055,13,1,798000,2.17
20200515,0055,14,0,0,0.00
20200515,0055,15,3,9606000,26.20
20200515,0055,16,0,0,0.00
20200515,0055,17,3641,36654000,100.00
20200515,0056,1,28939,9862182,0.45
20200515,0056,2,196157,431318977,19.94
20200515,0056,3,36453,289437064,13.38
20200515,0056,4,11619,149769683,6.92
20200515,0056,5,7298,135013496,6.24
20200515,0056,6,5935,151959686,7.02
20200515,0056,7,2723,97967086,4.53
20200515,0056,8,1642,76326448,3.52
20200515,0056,9,2620,185749625,8.58
20200515,0056,10,859,118489799,5.47
20200515,0056,11,263,72920465,3.37
20200515,0056,12,42,21004803,0.97
20200515,0056,13,17,11915400,0.55
20200515,0056,14,8,7367000,0.34
20200515,0056,15,38,403457286,18.65
20200515,0056,16,1,25000,0.00
20200515,0056,17,294613,2162534000,100.00
20200515,0057,1,25,1479,0.03
20200515,0057,2,65,110000,2.42
20200515,0057,3,7,59000,1.30
20200515,0057,4,2,24000,0.53
20200515,0057,5,3,55000,1.21
20200515,0057,6,2,57000,1.25
20200515,0057,7,1,33000,0.72
20200515,0057,8,0,0,0.00
20200515,0057,9,2,149521,3.30
20200515,0057,10,2,330000,7.28
20200515,0057,11,1,270000,5.96
20200515,0057,12,1,526000,11.61
20200515,0057,13,0,0,0.00
20200515,0057,14,0,0,0.00
20200515,0057,15,1,2912000,64.32
20200515,0057,16,0,0,0.00
20200515,0057,17,112,4527000,100.00
20200515,0061,1,538,156154,0.06
20200515,0061,2,7838,18653564,7.54
20200515,0061,3,2028,17221085,6.96
20200515,0061,4,696,9220423,3.73
20200515,0061,5,573,10869844,4.39
20200515,0061,6,508,13432756,5.43
20200515,0061,7,272,10028226,4.05
20200515,0061,8,220,10497082,4.24
20200515,0061,9,386,28203433,11.41
20200515,0061,10,174,25160122,10.18
20200515,0061,11,75,20317418,8.22
20200515,0061,12,29,14399893,5.82
20200515,0061,13,15,10564000,4.27
20200515,0061,14,6,5209000,2.10
20200515,0061,15,19,53183000,21.52
20200515,0061,16,0,0,0.00
20200515,0061,17,13377,247116000,100.00
20200515,006201,1,78,15555,0.07
20200515,006201,2,1070,2416299,11.26
20200515,006201,3,221,1909484,8.90
20200515,006201,4,48,632000,2.94
20200515,006201,5,51,960670,4.47
20200515,006201,6,33,891000,4.15
20200515,006201,7,10,357000,1.66
20200515,006201,8,4,181000,0.84
20200515,006201,9,8,525000,2.44
20200515,006201,10,4,589000,2.74
20200515,006201,11,1,241000,1.12
20200515,006201,12,1,577000,2.69
20200515,006201,13,2,1275992,5.94
20200515,006201,14,0,0,0.00
20200515,006201,15,3,10875000,50.70
20200515,006201,16,0,0,0.00
20200515,006201,17,1534,21446000,100.00
20200515,006203,1,32,3090,0.02
20200515,006203,2,202,328910,2.93
20200515,006203,3,10,82000,0.73
20200515,006203,4,2,26000,0.23
20200515,006203,5,4,76000,0.67
20200515,006203,6,2,43000,0.38
20200515,006203,7,2,62000,0.55
20200515,006203,8,2,85000,0.75
20200515,006203,9,0,0,0.00
20200515,006203,10,0,0,0.00
20200515,006203,11,1,202000,1.80
20200515,006203,12,4,1810000,16.13
20200515,006203,13,0,0,0.00
20200515,006203,14,0,0,0.00
20200515,006203,15,2,8500000,75.77
20200515,006203,16,0,0,0.00
20200515,006203,17,263,11218000,100.00
20200515,006204,1,167,15564,1.03
20200515,006204,2,153,255480,17.03
20200515,006204,3,12,94621,6.30
20200515,006204,4,1,12000,0.80
20200515,006204,5,2,40000,2.66
20200515,006204,6,2,52000,3.46
20200515,006204,7,0,0,0.00
20200515,006204,8,0,0,0.00
20200515,006204,9,2,149000,9.93
20200515,006204,10,2,299000,19.93
20200515,006204,11,0,0,0.00
20200515,006204,12,1,582335,38.82
20200515,006204,13,0,0,0.00
20200515,006204,14,0,0,0.00
20200515,006204,15,0,0,0.00
20200515,006204,16,0,0,0.00
20200515,006204,17,342,1500000,100.00
20200515,006205,1,5365,2213849,0.83
20200515,006205,2,9646,22189916,8.33
20200515,006205,3,1925,14954453,5.61
20200515,006205,4,641,8327589,3.12
20200515,006205,5,427,7937133,2.98
20200515,006205,6,396,10258012,3.85
20200515,006205,7,174,6297542,2.36
20200515,006205,8,139,6532084,2.45
20200515,006205,9,242,17784824,6.67
20200515,006205,10,97,14319767,5.37
20200515,006205,11,39,10758866,4.04
20200515,006205,12,19,9255000,3.47
20200515,006205,13,5,3664717,1.37
20200515,006205,14,7,6612000,2.48
20200515,006205,15,21,125135248,47.00
20200515,006205,16,0,0,0.00
20200515,006205,17,19143,266241000,100.00
20200515,006206,1,1190,435790,0.50
20200515,006206,2,3485,7854696,9.10
20200515,006206,3,674,5570171,6.45
20200515,006206,4,215,2813019,3.26
20200515,006206,5,176,3297648,3.82
20200515,006206,6,155,4082852,4.73
20200515,006206,7,77,2770961,3.21
20200515,006206,8,45,2120482,2.45
20200515,006206,9,94,6722579,7.79
20200515,006206,10,28,3748860,4.34
20200515,006206,11,19,5414910,6.27
20200515,006206,12,5,2401508,2.78
20200515,006206,13,0,0,0.00
20200515,006206,14,1,896000,1.03
20200515,006206,15,4,38148524,44.21
20200515,006206,16,0,0,0.00
20200515,006206,17,6168,86278000,100.00
20200515,006207,1,117,30066,0.04
20200515,006207,2,2029,4693289,6.96
20200515,006207,3,466,3840505,5.69
20200515,006207,4,174,2247350,3.33
20200515,006207,5,147,2733000,4.05
20200515,006207,6,153,4016498,5.95
20200515,006207,7,78,2814863,4.17
20200515,006207,8,60,2832000,4.20
20200515,006207,9,106,7774429,11.53
20200515,006207,10,60,8804000,13.06
20200515,006207,11,28,8219000,12.19
20200515,006207,12,2,1018000,1.51
20200515,006207,13,3,2138000,3.17
20200515,006207,14,2,2000000,2.96
20200515,006207,15,7,14231000,21.11
20200515,006207,16,0,0,0.00
20200515,006207,17,3432,67392000,100.00
20200515,006208,1,11010,3615297,4.63
20200515,006208,2,12211,22936942,29.39
20200515,006208,3,1105,8377806,10.73
20200515,006208,4,233,2954864,3.78
20200515,006208,5,122,2208145,2.82
20200515,006208,6,104,2591955,3.32
20200515,006208,7,30,1097337,1.40
20200515,006208,8,16,735521,0.94
20200515,006208,9,27,1820351,2.33
20200515,006208,10,7,873258,1.11
20200515,006208,11,2,736000,0.94
20200515,006208,12,2,855000,1.09
20200515,006208,13,0,0,0.00
20200515,006208,14,3,2740524,3.51
20200515,006208,15,4,26497000,33.95
20200515,006208,16,0,0,0.00
20200515,006208,17,24876,78040000,100.00
20200515,00625K,1,0,0,0.00
20200515,00625K,2,6,15000,2.82
20200515,00625K,3,1,10000,1.88
20200515,00625K,4,2,27000,5.08
20200515,00625K,5,3,53000,9.98
20200515,00625K,6,2,48000,9.03
20200515,00625K,7,1,40000,7.53
20200515,00625K,8,0,0,0.00
20200515,00625K,9,2,120000,22.59
20200515,00625K,10,0,0,0.00
20200515,00625K,11,1,218000,41.05
20200515,00625K,12,0,0,0.00
20200515,00625K,13,0,0,0.00
20200515,00625K,14,0,0,0.00
20200515,00625K,15,0,0,0.00
20200515,00625K,16,0,0,0.00
20200515,00625K,17,18,531000,100.00
20200515,00631L,1,61,8986,0.01
20200515,00631L,2,1772,3950058,8.76
20200515,00631L,3,402,3225261,7.15
20200515,00631L,4,157,2063000,4.57
20200515,00631L,5,115,2134000,4.73
20200515,00631L,6,118,3034000,6.72
20200515,00631L,7,51,1853000,4.11
20200515,00631L,8,35,1605050,3.56
20200515,00631L,9,51,3607000,8.00
20200515,00631L,10,34,5014000,11.12
20200515,00631L,11,17,5071645,11.24
20200515,00631L,12,3,1538000,3.41
20200515,00631L,13,2,1478000,3.27
20200515,00631L,14,1,909000,2.01
20200515,00631L,15,5,9669000,21.44
20200515,00631L,16,2,76000,0.16
20200515,00631L,17,2824,45084000,100.00
20200515,00632R,1,145,30220,0.00
20200515,00632R,2,18257,51273351,0.67
20200515,00632R,3,9763,82995510,1.08
20200515,00632R,4,4330,57568892,0.75
20200515,00632R,5,4626,87642856,1.14
20200515,00632R,6,4852,128796253,1.68
20200515,00632R,7,3094,113970032,1.49
20200515,00632R,8,2490,117710814,1.54
20200515,00632R,9,5883,441751180,5.79
20200515,00632R,10,3469,512962457,6.72
20200515,00632R,11,1889,541549928,7.10
20200515,00632R,12,623,310529000,4.07
20200515,00632R,13,227,158946000,2.08
20200515,00632R,14,172,158527000,2.07
20200515,00632R,15,377,4860395507,63.74
20200515,00632R,16,0,0,0.00
20200515,00632R,17,60197,7624649000,100.00
20200515,00633L,1,81,12007,0.00
20200515,00633L,2,3845,9380607,3.17
20200515,00633L,3,1198,9880950,3.34
20200515,00633L,4,514,6751185,2.28
20200515,00633L,5,438,8208668,2.77
20200515,00633L,6,497,12900000,4.36
20200515,00633L,7,256,9297430,3.14
20200515,00633L,8,193,8980127,3.03
20200515,00633L,9,428,31790467,10.75
20200515,00633L,10,234,34537836,11.68
20200515,00633L,11,100,28081000,9.50
