資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20201106,0050,1,78300,17839119,1.92
20201106,0050,2,77229,143973016,15.55
20201106,0050,3,7311,56155961,6.06
20201106,0050,4,1974,25262584,2.72
20201106,0050,5,1083,19811145,2.14
20201106,0050,6,866,21886879,2.36
20201106,0050,7,378,13356254,1.44
20201106,0050,8,211,9763707,1.05
20201106,0050,9,372,26397673,2.85
20201106,0050,10,132,18216225,1.96
20201106,0050,11,69,20105691,2.17
20201106,0050,12,14,6887616,0.74
20201106,0050,13,9,6452000,0.69
20201106,0050,14,9,8434000,0.91
20201106,0050,15,55,530958130,57.36
20201106,0050,16,0,0,0.00
20201106,0050,17,168012,925500000,100.00
20201106,0051,1,625,123381,1.23
20201106,0051,2,1798,3302107,33.02
20201106,0051,3,136,1088503,10.88
20201106,0051,4,36,447645,4.47
20201106,0051,5,28,522000,5.22
20201106,0051,6,14,369000,3.69
20201106,0051,7,12,407430,4.07
20201106,0051,8,5,231934,2.31
20201106,0051,9,7,487000,4.87
20201106,0051,10,6,874000,8.74
20201106,0051,11,1,248000,2.48
20201106,0051,12,1,422000,4.22
20201106,0051,13,2,1477000,14.77
20201106,0051,14,0,0,0.00
20201106,0051,15,0,0,0.00
20201106,0051,16,0,0,0.00
20201106,0051,17,2671,10000000,100.00
20201106,0052,1,3871,769883,2.56
20201106,0052,2,2572,4366633,14.55
20201106,0052,3,165,1287382,4.29
20201106,0052,4,37,486337,1.62
20201106,0052,5,20,376479,1.25
20201106,0052,6,14,337981,1.12
20201106,0052,7,8,283655,0.94
20201106,0052,8,2,87000,0.29
20201106,0052,9,5,389000,1.29
20201106,0052,10,8,1281000,4.27
20201106,0052,11,2,622000,2.07
20201106,0052,12,1,557590,1.85
20201106,0052,13,0,0,0.00
20201106,0052,14,0,0,0.00
20201106,0052,15,6,19155060,63.85
20201106,0052,16,0,0,0.00
20201106,0052,17,6711,30000000,100.00
20201106,0053,1,158,18332,0.33
20201106,0053,2,754,1482668,27.01
20201106,0053,3,83,718000,13.08
20201106,0053,4,12,158000,2.87
20201106,0053,5,21,404000,7.36
20201106,0053,6,4,103000,1.87
20201106,0053,7,2,76000,1.38
20201106,0053,8,3,145000,2.64
20201106,0053,9,2,135000,2.45
20201106,0053,10,2,294000,5.35
20201106,0053,11,2,663000,12.08
20201106,0053,12,0,0,0.00
20201106,0053,13,0,0,0.00
20201106,0053,14,0,0,0.00
20201106,0053,15,1,1291000,23.52
20201106,0053,16,0,0,0.00
20201106,0053,17,1044,5488000,100.00
20201106,0054,1,110,10664,0.13
20201106,0054,2,792,1635336,20.12
20201106,0054,3,117,1000000,12.30
20201106,0054,4,41,555000,6.83
20201106,0054,5,34,662000,8.14
20201106,0054,6,5,134000,1.64
20201106,0054,7,10,374000,4.60
20201106,0054,8,5,237000,2.91
20201106,0054,9,6,469000,5.77
20201106,0054,10,3,470000,5.78
20201106,0054,11,0,0,0.00
20201106,0054,12,1,423000,5.20
20201106,0054,13,0,0,0.00
20201106,0054,14,0,0,0.00
20201106,0054,15,1,2154000,26.51
20201106,0054,16,0,0,0.00
20201106,0054,17,1125,8124000,100.00
20201106,0055,1,269,52149,0.14
20201106,0055,2,2514,5405700,15.16
20201106,0055,3,463,3904640,10.95
20201106,0055,4,118,1560641,4.37
20201106,0055,5,111,2092348,5.86
20201106,0055,6,81,2143997,6.01
20201106,0055,7,42,1510000,4.23
20201106,0055,8,25,1188000,3.33
20201106,0055,9,40,2885525,8.09
20201106,0055,10,16,2042000,5.72
20201106,0055,11,9,2759000,7.73
20201106,0055,12,1,504000,1.41
20201106,0055,13,0,0,0.00
20201106,0055,14,0,0,0.00
20201106,0055,15,3,9606000,26.94
20201106,0055,16,0,0,0.00
20201106,0055,17,3692,35654000,100.00
20201106,0056,1,45973,15243343,0.63
20201106,0056,2,226360,489638935,20.48
20201106,0056,3,39948,317728268,13.29
20201106,0056,4,12695,162654986,6.80
20201106,0056,5,7588,140736600,5.88
20201106,0056,6,6177,158337729,6.62
20201106,0056,7,2885,103425984,4.32
20201106,0056,8,1786,83229087,3.48
20201106,0056,9,2845,204599789,8.56
20201106,0056,10,943,130151610,5.44
20201106,0056,11,289,79218672,3.31
20201106,0056,12,53,26563243,1.11
20201106,0056,13,25,17818328,0.74
20201106,0056,14,9,7884000,0.32
20201106,0056,15,44,452803426,18.94
20201106,0056,16,0,0,0.00
20201106,0056,17,347620,2390034000,100.00
20201106,0057,1,48,2479,0.04
20201106,0057,2,60,101000,1.82
20201106,0057,3,4,32000,0.57
20201106,0057,4,2,27000,0.48
20201106,0057,5,2,34000,0.61
20201106,0057,6,5,131000,2.37
20201106,0057,7,0,0,0.00
20201106,0057,8,0,0,0.00
20201106,0057,9,1,86000,1.55
20201106,0057,10,1,150000,2.71
20201106,0057,11,3,812521,14.70
20201106,0057,12,0,0,0.00
20201106,0057,13,0,0,0.00
20201106,0057,14,0,0,0.00
20201106,0057,15,2,4151000,75.10
20201106,0057,16,0,0,0.00
20201106,0057,17,128,5527000,100.00
20201106,0061,1,536,152955,0.09
20201106,0061,2,5906,13732383,8.31
20201106,0061,3,1425,12138591,7.35
20201106,0061,4,485,6445146,3.90
20201106,0061,5,374,7120041,4.31
20201106,0061,6,335,8866997,5.37
20201106,0061,7,200,7387000,4.47
20201106,0061,8,128,6095000,3.69
20201106,0061,9,257,19085000,11.55
20201106,0061,10,107,15436599,9.34
20201106,0061,11,52,14075418,8.52
20201106,0061,12,21,10534000,6.37
20201106,0061,13,13,9016000,5.46
20201106,0061,14,4,3513000,2.12
20201106,0061,15,10,31517870,19.08
20201106,0061,16,0,0,0.00
20201106,0061,17,9853,165116000,100.00
20201106,006201,1,88,17308,0.10
20201106,006201,2,927,2032363,12.35
20201106,006201,3,177,1531605,9.31
20201106,006201,4,39,501670,3.05
20201106,006201,5,32,597185,3.63
20201106,006201,6,18,491000,2.98
20201106,006201,7,8,279000,1.69
20201106,006201,8,5,226000,1.37
20201106,006201,9,5,296000,1.79
20201106,006201,10,7,1048999,6.37
20201106,006201,11,2,610992,3.71
20201106,006201,12,0,0,0.00
20201106,006201,13,2,1368000,8.31
20201106,006201,14,0,0,0.00
20201106,006201,15,3,7445878,45.27
20201106,006201,16,0,0,0.00
20201106,006201,17,1313,16446000,100.00
20201106,006203,1,114,17982,0.16
20201106,006203,2,186,282018,2.63
20201106,006203,3,9,82000,0.76
20201106,006203,4,1,11000,0.10
20201106,006203,5,2,36000,0.33
20201106,006203,6,2,43000,0.40
20201106,006203,7,2,63000,0.58
20201106,006203,8,0,0,0.00
20201106,006203,9,0,0,0.00
20201106,006203,10,1,134000,1.25
20201106,006203,11,2,610000,5.69
20201106,006203,12,2,939000,8.76
20201106,006203,13,0,0,0.00
20201106,006203,14,0,0,0.00
20201106,006203,15,2,8500000,79.30
20201106,006203,16,0,0,0.00
20201106,006203,17,323,10718000,100.00
20201106,006204,1,290,28123,1.40
20201106,006204,2,137,230019,11.50
20201106,006204,3,11,86621,4.33
20201106,006204,4,0,0,0.00
20201106,006204,5,1,20000,1.00
20201106,006204,6,1,30000,1.50
20201106,006204,7,0,0,0.00
20201106,006204,8,0,0,0.00
20201106,006204,9,2,145000,7.25
20201106,006204,10,1,136000,6.80
20201106,006204,11,0,0,0.00
20201106,006204,12,0,0,0.00
20201106,006204,13,0,0,0.00
20201106,006204,14,0,0,0.00
20201106,006204,15,1,1324237,66.21
20201106,006204,16,0,0,0.00
20201106,006204,17,444,2000000,100.00
20201106,006205,1,5838,2269616,1.52
20201106,006205,2,6885,15652996,10.54
20201106,006205,3,1268,9837870,6.62
20201106,006205,4,413,5388388,3.63
20201106,006205,5,308,5751167,3.87
20201106,006205,6,257,6622891,4.46
20201106,006205,7,106,3770220,2.54
20201106,006205,8,84,3946981,2.65
20201106,006205,9,165,11959855,8.05
20201106,006205,10,66,9198687,6.19
20201106,006205,11,25,7240062,4.87
20201106,006205,12,11,5412000,3.64
20201106,006205,13,6,4360000,2.93
20201106,006205,14,7,6343121,4.27
20201106,006205,15,12,50642146,34.12
20201106,006205,16,0,0,0.00
20201106,006205,17,15451,148396000,100.00
20201106,006206,1,1185,415582,0.60
20201106,006206,2,2568,5722627,8.32
20201106,006206,3,482,3870186,5.62
20201106,006206,4,155,2040839,2.96
