資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200227,0050,1,40092,9981052,1.31
20200227,0050,2,67002,125847438,16.52
20200227,0050,3,6345,49051381,6.44
20200227,0050,4,1744,22419230,2.94
20200227,0050,5,961,17584072,2.30
20200227,0050,6,805,20487189,2.69
20200227,0050,7,350,12508906,1.64
20200227,0050,8,214,9966057,1.30
20200227,0050,9,347,24779592,3.25
20200227,0050,10,125,17952691,2.35
20200227,0050,11,56,15572153,2.04
20200227,0050,12,19,9476000,1.24
20200227,0050,13,9,6019209,0.79
20200227,0050,14,5,4653000,0.61
20200227,0050,15,58,415202030,54.52
20200227,0050,16,0,0,0.00
20200227,0050,17,118132,761500000,100.00
20200227,0051,1,271,46856,0.49
20200227,0051,2,1491,2798720,29.46
20200227,0051,3,121,987318,10.39
20200227,0051,4,31,385172,4.05
20200227,0051,5,28,522000,5.49
20200227,0051,6,16,408000,4.29
20200227,0051,7,10,340934,3.58
20200227,0051,8,3,143000,1.50
20200227,0051,9,8,560000,5.89
20200227,0051,10,4,522000,5.49
20200227,0051,11,2,429000,4.51
20200227,0051,12,2,852000,8.96
20200227,0051,13,2,1505000,15.84
20200227,0051,14,0,0,0.00
20200227,0051,15,0,0,0.00
20200227,0051,16,0,0,0.00
20200227,0051,17,1989,9500000,100.00
20200227,0052,1,1569,322168,1.09
20200227,0052,2,757,1358691,4.60
20200227,0052,3,64,508956,1.72
20200227,0052,4,12,144521,0.48
20200227,0052,5,8,148000,0.50
20200227,0052,6,5,117972,0.39
20200227,0052,7,2,68000,0.23
20200227,0052,8,3,140000,0.47
20200227,0052,9,4,270000,0.91
20200227,0052,10,3,478000,1.62
20200227,0052,11,1,221692,0.75
20200227,0052,12,0,0,0.00
20200227,0052,13,0,0,0.00
20200227,0052,14,0,0,0.00
20200227,0052,15,2,25722000,87.19
20200227,0052,16,0,0,0.00
20200227,0052,17,2430,29500000,100.00
20200227,0053,1,62,6752,0.12
20200227,0053,2,680,1415248,25.78
20200227,0053,3,86,751000,13.68
20200227,0053,4,11,147000,2.67
20200227,0053,5,24,461000,8.40
20200227,0053,6,7,177000,3.22
20200227,0053,7,1,40000,0.72
20200227,0053,8,2,100000,1.82
20200227,0053,9,2,155000,2.82
20200227,0053,10,1,189000,3.44
20200227,0053,11,1,221000,4.02
20200227,0053,12,1,406000,7.39
20200227,0053,13,0,0,0.00
20200227,0053,14,0,0,0.00
20200227,0053,15,1,1419000,25.85
20200227,0053,16,0,0,0.00
20200227,0053,17,879,5488000,100.00
20200227,0054,1,58,5650,0.05
20200227,0054,2,881,1858280,18.35
20200227,0054,3,137,1185000,11.70
20200227,0054,4,46,620000,6.12
20200227,0054,5,40,779000,7.69
20200227,0054,6,10,252070,2.48
20200227,0054,7,10,378000,3.73
20200227,0054,8,6,281000,2.77
20200227,0054,9,6,492000,4.85
20200227,0054,10,4,603000,5.95
20200227,0054,11,2,655000,6.46
20200227,0054,12,1,512000,5.05
20200227,0054,13,0,0,0.00
20200227,0054,14,0,0,0.00
20200227,0054,15,1,2503000,24.72
20200227,0054,16,0,0,0.00
20200227,0054,17,1202,10124000,100.00
20200227,0055,1,206,40766,0.11
20200227,0055,2,2480,5382353,14.68
20200227,0055,3,467,3957408,10.79
20200227,0055,4,120,1570000,4.28
20200227,0055,5,118,2229548,6.08
20200227,0055,6,76,2036400,5.55
20200227,0055,7,45,1612000,4.39
20200227,0055,8,26,1249000,3.40
20200227,0055,9,37,2703000,7.37
20200227,0055,10,17,2272525,6.19
20200227,0055,11,8,2228000,6.07
20200227,0055,12,2,994000,2.71
20200227,0055,13,1,798000,2.17
20200227,0055,14,0,0,0.00
20200227,0055,15,3,9581000,26.13
20200227,0055,16,0,0,0.00
20200227,0055,17,3606,36654000,100.00
20200227,0056,1,23255,7804346,0.61
20200227,0056,2,136693,290341348,23.01
20200227,0056,3,21434,171904166,13.62
20200227,0056,4,6362,82229464,6.51
20200227,0056,5,4082,75963530,6.02
20200227,0056,6,3114,80436404,6.37
20200227,0056,7,1474,52972015,4.19
20200227,0056,8,853,39798682,3.15
20200227,0056,9,1277,91811151,7.27
20200227,0056,10,422,57899376,4.58
20200227,0056,11,154,41330594,3.27
20200227,0056,12,27,13568305,1.07
20200227,0056,13,7,5041000,0.39
20200227,0056,14,7,6343000,0.50
20200227,0056,15,34,269763082,21.38
20200227,0056,16,3,25672463,2.03
20200227,0056,17,199195,1261534000,102.00
20200227,0057,1,22,1479,0.03
20200227,0057,2,56,98000,2.16
20200227,0057,3,4,35000,0.77
20200227,0057,4,2,26000,0.57
20200227,0057,5,2,36000,0.79
20200227,0057,6,1,30000,0.66
20200227,0057,7,1,33000,0.72
20200227,0057,8,0,0,0.00
