資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200306,0050,1,40196,10011977,1.23
20200306,0050,2,72237,136453324,16.89
20200306,0050,3,6982,54040188,6.69
20200306,0050,4,1888,24161041,2.99
20200306,0050,5,1094,20080693,2.48
20200306,0050,6,838,21277153,2.63
20200306,0050,7,383,13682698,1.69
20200306,0050,8,225,10507342,1.30
20200306,0050,9,387,27492013,3.40
20200306,0050,10,129,18391224,2.27
20200306,0050,11,59,16730822,2.07
20200306,0050,12,18,9159482,1.13
20200306,0050,13,7,4575982,0.56
20200306,0050,14,7,6528061,0.80
20200306,0050,15,58,434408000,53.79
20200306,0050,16,0,0,0.00
20200306,0050,17,124508,807500000,100.00
20200306,0051,1,273,47470,0.49
20200306,0051,2,1494,2806970,29.54
20200306,0051,3,125,1019318,10.72
20200306,0051,4,31,384308,4.04
20200306,0051,5,27,506000,5.32
20200306,0051,6,15,385000,4.05
20200306,0051,7,10,341934,3.59
20200306,0051,8,3,143000,1.50
20200306,0051,9,8,557000,5.86
20200306,0051,10,4,516000,5.43
20200306,0051,11,2,428000,4.50
20200306,0051,12,2,861000,9.06
20200306,0051,13,2,1504000,15.83
20200306,0051,14,0,0,0.00
20200306,0051,15,0,0,0.00
20200306,0051,16,0,0,0.00
20200306,0051,17,1996,9500000,100.00
20200306,0052,1,1573,321497,1.08
20200306,0052,2,756,1368165,4.63
20200306,0052,3,61,481125,1.63
20200306,0052,4,13,162521,0.55
20200306,0052,5,7,126000,0.42
20200306,0052,6,6,150000,0.50
20200306,0052,7,1,35000,0.11
20200306,0052,8,3,144000,0.48
20200306,0052,9,3,206000,0.69
20200306,0052,10,5,760692,2.57
20200306,0052,11,0,0,0.00
20200306,0052,12,0,0,0.00
20200306,0052,13,0,0,0.00
20200306,0052,14,0,0,0.00
20200306,0052,15,2,25745000,87.27
20200306,0052,16,0,0,0.00
20200306,0052,17,2430,29500000,100.00
20200306,0053,1,61,6738,0.12
20200306,0053,2,678,1412262,25.73
20200306,0053,3,87,753000,13.72
20200306,0053,4,11,147000,2.67
20200306,0053,5,24,461000,8.40
20200306,0053,6,7,185000,3.37
20200306,0053,7,1,40000,0.72
20200306,0053,8,2,100000,1.82
20200306,0053,9,2,155000,2.82
20200306,0053,10,1,180000,3.27
20200306,0053,11,1,224000,4.08
20200306,0053,12,1,405000,7.37
20200306,0053,13,0,0,0.00
20200306,0053,14,0,0,0.00
20200306,0053,15,1,1419000,25.85
20200306,0053,16,0,0,0.00
20200306,0053,17,877,5488000,100.00
20200306,0054,1,58,5650,0.05
20200306,0054,2,884,1865280,18.42
20200306,0054,3,135,1165000,11.50
20200306,0054,4,45,608000,6.00
20200306,0054,5,41,799000,7.89
20200306,0054,6,10,252070,2.48
20200306,0054,7,10,378000,3.73
20200306,0054,8,6,281000,2.77
20200306,0054,9,6,492000,4.85
20200306,0054,10,4,603000,5.95
20200306,0054,11,2,682000,6.73
20200306,0054,12,1,512000,5.05
20200306,0054,13,0,0,0.00
20200306,0054,14,0,0,0.00
20200306,0054,15,1,2481000,24.50
20200306,0054,16,0,0,0.00
20200306,0054,17,1203,10124000,100.00
20200306,0055,1,211,41465,0.11
20200306,0055,2,2487,5384099,14.68
20200306,0055,3,468,3965754,10.81
20200306,0055,4,120,1573000,4.29
20200306,0055,5,115,2170757,5.92
20200306,0055,6,78,2083400,5.68
20200306,0055,7,45,1614000,4.40
20200306,0055,8,25,1204000,3.28
20200306,0055,9,38,2747000,7.49
20200306,0055,10,16,2078525,5.67
20200306,0055,11,9,2411000,6.57
20200306,0055,12,2,994000,2.71
20200306,0055,13,1,798000,2.17
20200306,0055,14,0,0,0.00
20200306,0055,15,3,9589000,26.16
20200306,0055,16,0,0,0.00
20200306,0055,17,3618,36654000,100.00
20200306,0056,1,23172,7769981,0.54
20200306,0056,2,145192,310326214,21.93
20200306,0056,3,23435,187828201,13.27
20200306,0056,4,6873,88721124,6.27
20200306,0056,5,4484,83293911,5.88
20200306,0056,6,3398,87662905,6.19
20200306,0056,7,1593,57242068,4.04
20200306,0056,8,919,42828633,3.02
20200306,0056,9,1435,102641332,7.25
20200306,0056,10,458,63548656,4.49
