資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200122,0050,1,37062,9388570,1.44
20200122,0050,2,51223,96127621,14.81
20200122,0050,3,4962,38643405,5.95
20200122,0050,4,1377,17698671,2.72
20200122,0050,5,776,14200431,2.18
20200122,0050,6,645,16453209,2.53
20200122,0050,7,294,10541985,1.62
20200122,0050,8,178,8208261,1.26
20200122,0050,9,311,21899202,3.37
20200122,0050,10,108,15517918,2.39
20200122,0050,11,51,14447636,2.22
20200122,0050,12,23,11336507,1.74
20200122,0050,13,10,6844416,1.05
20200122,0050,14,4,3640061,0.56
20200122,0050,15,48,364052107,56.09
20200122,0050,16,0,0,0.00
20200122,0050,17,97072,649000000,100.00
20200122,0051,1,261,43020,0.45
20200122,0051,2,1460,2759247,29.04
20200122,0051,3,126,1018913,10.72
20200122,0051,4,31,385886,4.06
20200122,0051,5,26,491000,5.16
20200122,0051,6,14,367000,3.86
20200122,0051,7,11,376934,3.96
20200122,0051,8,3,143000,1.50
20200122,0051,9,7,466000,4.90
20200122,0051,10,5,636000,6.69
20200122,0051,11,2,436000,4.58
20200122,0051,12,2,854000,8.98
20200122,0051,13,2,1523000,16.03
20200122,0051,14,0,0,0.00
20200122,0051,15,0,0,0.00
20200122,0051,16,0,0,0.00
20200122,0051,17,1950,9500000,100.00
20200122,0052,1,1356,273628,0.94
20200122,0052,2,675,1178846,4.06
20200122,0052,3,54,449116,1.54
20200122,0052,4,11,146521,0.50
20200122,0052,5,5,96000,0.33
20200122,0052,6,4,91635,0.31
20200122,0052,7,1,36000,0.12
20200122,0052,8,1,48000,0.16
20200122,0052,9,3,184000,0.63
20200122,0052,10,3,480000,1.65
20200122,0052,11,1,290254,1.00
20200122,0052,12,0,0,0.00
20200122,0052,13,0,0,0.00
20200122,0052,14,0,0,0.00
20200122,0052,15,2,25726000,88.71
20200122,0052,16,0,0,0.00
20200122,0052,17,2116,29000000,100.00
20200122,0053,1,61,6443,0.11
20200122,0053,2,665,1386557,25.26
20200122,0053,3,88,763000,13.90
20200122,0053,4,12,159000,2.89
20200122,0053,5,26,498000,9.07
20200122,0053,6,4,101000,1.84
20200122,0053,7,2,71000,1.29
