﻿資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200529,0050,1,51610,12864380,1.24
20200529,0050,2,100274,191958339,18.62
20200529,0050,3,10430,80640625,7.82
20200529,0050,4,2802,35825742,3.47
20200529,0050,5,1531,27995662,2.71
20200529,0050,6,1256,31724938,3.07
20200529,0050,7,542,19335048,1.87
20200529,0050,8,331,15377420,1.49
20200529,0050,9,506,36114332,3.50
20200529,0050,10,178,25176579,2.44
20200529,0050,11,69,19689660,1.91
20200529,0050,12,16,7865000,0.76
20200529,0050,13,4,2738367,0.26
20200529,0050,14,9,8373000,0.81
20200529,0050,15,60,514820908,49.95
20200529,0050,16,0,0,0.00
20200529,0050,17,169618,1030500000,100.00
20200529,0051,1,301,55183,0.55
20200529,0051,2,1515,2839463,28.39
20200529,0051,3,128,1027775,10.27
20200529,0051,4,33,407645,4.07
20200529,0051,5,29,539000,5.39
20200529,0051,6,14,356000,3.56
20200529,0051,7,12,401000,4.01
20200529,0051,8,5,233934,2.33
20200529,0051,9,8,519000,5.19
20200529,0051,10,4,513000,5.13
20200529,0051,11,4,1191000,11.91
20200529,0051,12,1,417000,4.17
20200529,0051,13,2,1500000,15.00
20200529,0051,14,0,0,0.00
20200529,0051,15,0,0,0.00
20200529,0051,16,0,0,0.00
20200529,0051,17,2056,10000000,100.00
20200529,0052,1,1862,443343,1.45
20200529,0052,2,949,1687996,5.53
20200529,0052,3,90,688110,2.25
20200529,0052,4,8,100606,0.32
20200529,0052,5,7,130000,0.42
20200529,0052,6,6,135829,0.44
20200529,0052,7,1,35000,0.11
20200529,0052,8,2,84000,0.27
20200529,0052,9,5,328000,1.07
20200529,0052,10,6,826116,2.70
20200529,0052,11,1,330000,1.08
20200529,0052,12,0,0,0.00
20200529,0052,13,0,0,0.00
20200529,0052,14,0,0,0.00
20200529,0052,15,2,25711000,84.29
20200529,0052,16,0,0,0.00
20200529,0052,17,2939,30500000,100.00
20200529,0053,1,66,6589,0.10
20200529,0053,2,727,1469411,22.64
20200529,0053,3,99,841000,12.96
20200529,0053,4,11,147000,2.26
20200529,0053,5,21,408000,6.28
20200529,0053,6,6,149000,2.29
20200529,0053,7,2,76000,1.17
20200529,0053,8,3,143000,2.20
20200529,0053,9,2,155000,2.38
20200529,0053,10,1,200000,3.08
20200529,0053,11,0,0,0.00
20200529,0053,12,3,1506000,23.21
20200529,0053,13,0,0,0.00
20200529,0053,14,0,0,0.00
20200529,0053,15,1,1387000,21.37
20200529,0053,16,0,0,0.00
20200529,0053,17,942,6488000,100.00
20200529,0054,1,62,5969,0.05
20200529,0054,2,881,1843989,18.21
20200529,0054,3,136,1178000,11.63
20200529,0054,4,44,598000,5.90
20200529,0054,5,39,759000,7.49
20200529,0054,6,10,259042,2.55
20200529,0054,7,11,410000,4.04
20200529,0054,8,5,237000,2.34
20200529,0054,9,5,432000,4.26
20200529,0054,10,5,791000,7.81
20200529,0054,11,2,702000,6.93
20200529,0054,12,1,482000,4.76
20200529,0054,13,0,0,0.00
20200529,0054,14,0,0,0.00
20200529,0054,15,1,2426000,23.96
20200529,0054,16,0,0,0.00
20200529,0054,17,1202,10124000,100.00
20200529,0055,1,203,39155,0.10
20200529,0055,2,2532,5486641,14.96
20200529,0055,3,466,3940910,10.75
20200529,0055,4,116,1527140,4.16
20200529,0055,5,107,2027348,5.53
20200529,0055,6,78,2071181,5.65
20200529,0055,7,44,1589100,4.33
20200529,0055,8,26,1240000,3.38
20200529,0055,9,36,2581000,7.04
20200529,0055,10,16,2155000,5.87
20200529,0055,11,9,2651525,7.23
20200529,0055,12,2,927000,2.52
20200529,0055,13,1,798000,2.17
20200529,0055,14,0,0,0.00
20200529,0055,15,3,9620000,26.24
20200529,0055,16,0,0,0.00
20200529,0055,17,3639,36654000,100.00
20200529,0056,1,30575,10599107,0.49
20200529,0056,2,196959,431770642,20.00
20200529,0056,3,36074,286700907,13.28
20200529,0056,4,11537,148638546,6.88
20200529,0056,5,7173,132801601,6.15
20200529,0056,6,5844,149655055,6.93
20200529,0056,7,2667,95884103,4.44
20200529,0056,8,1629,75696140,3.50
20200529,0056,9,2587,183303063,8.49
20200529,0056,10,857,117801936,5.45
20200529,0056,11,252,69462253,3.21
20200529,0056,12,44,21872301,1.01
20200529,0056,13,15,10527000,0.48
20200529,0056,14,7,6197000,0.28
