資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200814,0050,1,62127,14826203,1.31
20200814,0050,2,76706,143257315,12.71
20200814,0050,3,7227,55573876,4.93
20200814,0050,4,1997,25537253,2.26
20200814,0050,5,1118,20415535,1.81
20200814,0050,6,874,22078097,1.95
20200814,0050,7,395,13977908,1.24
20200814,0050,8,230,10698010,0.94
20200814,0050,9,366,26173202,2.32
20200814,0050,10,138,19557750,1.73
20200814,0050,11,56,15896424,1.41
20200814,0050,12,21,10271776,0.91
20200814,0050,13,10,7345000,0.65
20200814,0050,14,11,10196000,0.90
20200814,0050,15,55,731195651,64.87
20200814,0050,16,0,0,0.00
20200814,0050,17,151331,1127000000,100.00
20200814,0051,1,514,82910,0.78
20200814,0051,2,1793,3256071,31.01
20200814,0051,3,132,1072194,10.21
20200814,0051,4,33,401645,3.82
20200814,0051,5,29,542246,5.16
20200814,0051,6,13,334000,3.18
20200814,0051,7,11,367000,3.49
20200814,0051,8,4,185934,1.77
20200814,0051,9,8,517000,4.92
20200814,0051,10,5,691000,6.58
20200814,0051,11,2,672000,6.40
20200814,0051,12,2,875000,8.33
20200814,0051,13,2,1503000,14.31
20200814,0051,14,0,0,0.00
20200814,0051,15,0,0,0.00
20200814,0051,16,0,0,0.00
20200814,0051,17,2548,10500000,100.00
20200814,0052,1,2588,547382,2.73
20200814,0052,2,2275,3765201,18.82
20200814,0052,3,121,958182,4.79
20200814,0052,4,21,270305,1.35
20200814,0052,5,11,209000,1.04
20200814,0052,6,6,143000,0.71
20200814,0052,7,2,69655,0.34
20200814,0052,8,1,43000,0.21
20200814,0052,9,5,386000,1.93
20200814,0052,10,4,607275,3.03
20200814,0052,11,1,281000,1.40
20200814,0052,12,0,0,0.00
20200814,0052,13,0,0,0.00
20200814,0052,14,0,0,0.00
20200814,0052,15,2,12720000,63.60
20200814,0052,16,0,0,0.00
20200814,0052,17,5037,20000000,100.00
20200814,0053,1,107,12738,0.23
20200814,0053,2,788,1563262,28.48
20200814,0053,3,92,796000,14.50
20200814,0053,4,12,158000,2.87
20200814,0053,5,21,408000,7.43
20200814,0053,6,5,125000,2.27
20200814,0053,7,2,80000,1.45
20200814,0053,8,2,100000,1.82
20200814,0053,9,3,211000,3.84
20200814,0053,10,1,114000,2.07
20200814,0053,11,2,590000,10.75
20200814,0053,12,0,0,0.00
20200814,0053,13,0,0,0.00
20200814,0053,14,0,0,0.00
20200814,0053,15,1,1330000,24.23
20200814,0053,16,0,0,0.00
20200814,0053,17,1036,5488000,100.00
20200814,0054,1,83,6635,0.07
20200814,0054,2,806,1660365,18.19
20200814,0054,3,120,1040000,11.39
20200814,0054,4,39,525000,5.75
20200814,0054,5,33,642000,7.03
20200814,0054,6,6,159000,1.74
20200814,0054,7,9,343000,3.75
20200814,0054,8,5,237000,2.59
20200814,0054,9,7,575000,6.30
20200814,0054,10,3,405000,4.43
20200814,0054,11,1,400000,4.38
20200814,0054,12,2,884000,9.68
20200814,0054,13,0,0,0.00
20200814,0054,14,0,0,0.00
20200814,0054,15,1,2247000,24.62
